date,market,open,close
2023-05-09,Madhur Day,579,679
2023-05-09,Madhur Morning,349,370
2023-05-09,Madhur Night,368,155
2023-05-09,Madhuri,359,278
2023-05-09,Madhuri Night,190,267
2023-05-09,Main Bazar,238,158
2023-05-09,Milan Day,347,449
2023-05-09,Milan Morning,140,125
2023-05-09,Milan Night,237,150
2023-05-09,Rajdhani Day,469,699
2023-05-09,Rajdhani Night,145,235
2023-05-09,Sridevi,159,128
2023-05-09,Sridevi Night,170,179
2023-05-09,Supreme Day,300,288
2023-05-09,Supreme Night,278,467
2023-05-09,Tara Mumbai Day,369,247
2023-05-09,Time Bazar,550,237
2023-05-10,Kalyan,229,267
2023-05-10,Kalyan Morning,357,467
2023-05-10,Kalyan Night,458,223
2023-05-10,Madhur Day,689,247
2023-05-10,Madhur Morning,458,566
2023-05-10,Madhur Night,499,129
2023-05-10,Madhuri,339,344
2023-05-10,Madhuri Night,890,189
2023-05-10,Main Bazar,459,179
2023-05-10,Milan Day,278,120
2023-05-10,Milan Morning,100,790
2023-05-10,Milan Night,278,790
2023-05-10,Rajdhani Day,147,127
2023-05-10,Rajdhani Night,340,139
2023-05-10,Sridevi,228,480
2023-05-10,Sridevi Night,150,134
2023-05-10,Supreme Day,279,256
2023-05-10,Supreme Night,380,113
2023-05-10,Tara Mumbai Day,567,270
2023-05-10,Time Bazar,679,600
2023-05-11,Kalyan,899,670
2023-05-11,Kalyan Morning,247,248
2023-05-11,Kalyan Night,559,156
2023-05-11,Madhur Day,456,670
2023-05-11,Madhur Morning,448,234
2023-05-11,Madhur Night,690,155
2023-05-11,Madhuri,269,460
2023-05-11,Madhuri Night,122,579
2023-05-11,Main Bazar,336,455
2023-05-11,Milan Day,600,500
2023-05-11,Milan Morning,566,180
2023-05-11,Milan Night,455,170
2023-05-11,Rajdhani Day,139,149
2023-05-11,Rajdhani Night,158,114
2023-05-11,Sridevi,459,177
2023-05-11,Sridevi Night,679,356
2023-05-11,Supreme Day,257,690
2023-05-11,Supreme Night,457,370
2023-05-11,Tara Mumbai Day,330,344
2023-05-11,Time Bazar,449,166
2023-05-12,Kalyan,390,570
2023-05-12,Kalyan Morning,179,250
2023-05-12,Kalyan Night,379,670
2023-05-12,Madhur Day,226,590
2023-05-12,Madhur Morning,480,280
2023-05-12,Madhur Night,690,258
2023-05-12,Madhuri,150,890
2023-05-12,Madhuri Night,667,168
2023-05-12,Main Bazar,134,460
2023-05-12,Milan Day,990,670
2023-05-12,Milan Morning,100,128
2023-05-12,Milan Night,233,147
2023-05-12,Rajdhani Day,136,245
2023-05-12,Rajdhani Night,245,239
2023-05-12,Sridevi,700,129
2023-05-12,Sridevi Night,460,579
2023-05-12,Supreme Day,379,479
2023-05-12,Supreme Night,490,345
2023-05-12,Tara Mumbai Day,150,344
2023-05-12,Time Bazar,880,290
2023-05-13,Kalyan,456,137
2023-05-13,Kalyan Morning,268,568
2023-05-13,Madhur Day,579,150
2023-05-13,Madhur Morning,220,458
2023-05-13,Madhur Night,458,670
2023-05-13,Madhuri,380,124
2023-05-13,Madhuri Night,457,488
2023-05-13,Milan Day,450,116
2023-05-13,Milan Morning,167,569
2023-05-13,Milan Night,249,249
2023-05-13,Rajdhani Day,440,479
2023-05-13,Sridevi,246,134
2023-05-13,Sridevi Night,890,245
2023-05-13,Supreme Day,125,233
2023-05-13,Supreme Night,347,779
